sample_id,elapsed_ms,x,y,z,collision,blocked_path
326,512000,-562.93,6099.20,83.95,0,0
327,513000,-605.44,6002.28,83.96,0,0
328,514000,-646.68,5923.84,83.98,0,0
329,515000,-692.17,5843.79,83.99,0,0
330,516000,-734.62,5768.85,84.01,0,0
331,517000,-768.65,5683.88,84.02,0,0
332,518000,-789.18,5597.18,39.03,0,0
333,519000,-798.26,5558.66,-5.95,0,0
334,520000,-798.26,5558.66,-35.94,0,0
335,521000,-801.66,5544.05,-50.92,0,0
336,522000,-752.97,5613.78,-50.91,0,0
337,523000,-694.46,5680.79,-50.90,0,0
338,524000,-621.75,5728.58,-50.88,0,0
339,525000,-574.82,5804.32,-35.87,0,0
340,526000,-529.34,5877.46,-5.85,0,0
341,527000,-474.69,5951.38,24.16,0,0
342,528000,-411.92,6018.48,54.17,0,0
343,529000,-343.49,6075.55,84.19,0,0
344,530000,-282.41,6126.35,114.20,0,0
345,531000,-218.32,6179.65,166.29,0,0
346,532000,-203.88,6191.67,183.81,0,0
347,533000,-203.88,6191.67,173.58,0,0
348,534000,-160.44,6168.93,207.23,0,0
349,535000,-130.53,6175.54,242.00,0,0
350,536000,-130.53,6175.54,275.64,0,0
351,537000,-130.53,6175.54,294.29,0,0
352,538000,-144.47,6170.00,327.94,0,0
353,539000,-144.47,6170.00,361.58,0,0
354,540000,-144.47,6170.00,86.85,3,0
355,542000,-144.47,6170.00,86.85,3,0
356,542000,-144.47,6170.00,86.85,3,0
357,543000,-144.47,6170.00,86.85,3,0
358,544000,-144.47,6170.00,86.85,3,0
